시간 43288 : 작업 : 309 종료(도착시간 : 31461, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 11827, 최종우선순위 : 8)
시간 43318 : 작업 : 910 종료(도착시간 : 31620, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 11698, 최종우선순위 : 8)
시간 43358 : 작업 : 746 종료(도착시간 : 31913, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 11445, 최종우선순위 : 8)
시간 44748 : 작업 : 320 종료(도착시간 : 1679, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 43069, 최종우선순위 : 9)
시간 44818 : 작업 : 766 종료(도착시간 : 1662, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 43156, 최종우선순위 : 9)
시간 44828 : 작업 : 483 종료(도착시간 : 1560, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 43268, 최종우선순위 : 9)
시간 44848 : 작업 : 903 종료(도착시간 : 1988, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 42860, 최종우선순위 : 9)
시간 44998 : 작업 : 926 종료(도착시간 : 2451, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 42547, 최종우선순위 : 9)
시간 45038 : 작업 : 134 종료(도착시간 : 2668, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 42370, 최종우선순위 : 9)
시간 45068 : 작업 : 135 종료(도착시간 : 3102, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 41966, 최종우선순위 : 9)
시간 45418 : 작업 : 986 종료(도착시간 : 4489, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 40929, 최종우선순위 : 9)
시간 45428 : 작업 : 125 종료(도착시간 : 4474, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 40954, 최종우선순위 : 9)
시간 45648 : 작업 : 631 종료(도착시간 : 5303, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 40345, 최종우선순위 : 9)
시간 45658 : 작업 : 39 종료(도착시간 : 5097, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 40561, 최종우선순위 : 9)
시간 46008 : 작업 : 200 종료(도착시간 : 6511, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 39497, 최종우선순위 : 9)
시간 46088 : 작업 : 409 종료(도착시간 : 6972, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 39116, 최종우선순위 : 9)
시간 46168 : 작업 : 638 종료(도착시간 : 7229, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 38939, 최종우선순위 : 9)
시간 46258 : 작업 : 136 종료(도착시간 : 7627, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 38631, 최종우선순위 : 9)
시간 46378 : 작업 : 231 종료(도착시간 : 8213, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 38165, 최종우선순위 : 9)
시간 46488 : 작업 : 634 종료(도착시간 : 8753, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 37735, 최종우선순위 : 9)
시간 46738 : 작업 : 214 종료(도착시간 : 9313, 실행시간 : 90, 실행횟수 : 9, 지연시간 : 37425, 최종우선순위 : 9)
시간 46998 : 작업 : 890 종료(도착시간 : 10891, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 36107, 최종우선순위 : 9)
시간 47028 : 작업 : 917 종료(도착시간 : 10951, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 36077, 최종우선순위 : 9)
시간 47058 : 작업 : 620 종료(도착시간 : 11072, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 35986, 최종우선순위 : 9)
시간 47138 : 작업 : 520 종료(도착시간 : 10986, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 36152, 최종우선순위 : 9)
시간 47228 : 작업 : 608 종료(도착시간 : 11874, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 35354, 최종우선순위 : 9)
시간 47508 : 작업 : 148 종료(도착시간 : 12550, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 34958, 최종우선순위 : 9)
시간 47518 : 작업 : 205 종료(도착시간 : 12193, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 35325, 최종우선순위 : 9)
시간 47738 : 작업 : 758 종료(도착시간 : 13043, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 34695, 최종우선순위 : 9)
시간 47868 : 작업 : 534 종료(도착시간 : 13489, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 34379, 최종우선순위 : 9)
시간 47888 : 작업 : 711 종료(도착시간 : 13162, 실행시간 : 90, 실행횟수 : 9, 지연시간 : 34726, 최종우선순위 : 9)
시간 47908 : 작업 : 516 종료(도착시간 : 13608, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 34300, 최종우선순위 : 9)
시간 47918 : 작업 : 497 종료(도착시간 : 13722, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 34196, 최종우선순위 : 9)
